bhk,locality,Price,sqft,status,Possession,price_per_sqft,Age_old,bath
2,Tathawade,48 L,950,Under Construction,Possession by Aug 2022,"5,052 / sq ft",,2
2,Tathawade,47 L,920,Under Construction,,"5,108 / sq ft",,2
2,Ravet,48 L,965,Under Construction,Possession by Mar 2023,"4,974 / sq ft",,2
2,Ravet,50 L,975,Ready to move,,"5,128 / sq ft",1,2
3,Tathawade,62 L,1125,Under Construction,Possession by Mar 2023,"5,511 / sq ft",,2
1,Tathawade,48 L,920,Under Construction,,"5,217 / sq ft",,2
2,Ravet,50 L,945,Under Construction,Possession by Sep 2022,"5,291 / sq ft",,2
2,Ravet,44.5 L,899,Under Construction,Possession by Jan 2024,"4,949 / sq ft",,2
2,Tathawade,49 L,985,Ready to move,,"4,974 / sq ft",4,2
2,Tathawade,46.5 L,935,Under Construction,Possession by Aug 2022,"4,973 / sq ft",,2
3,Tathawade,58 L,1059,Under Construction,Possession by Apr 2023,"5,476 / sq ft",,3
3,Tathawade,62 L,1165,Under Construction,Possession by Dec 2022,"5,321 / sq ft",,3
2,Tathawade,48 L,970,Under Construction,Possession by Dec 2022,"4,948 / sq ft",,2
2,Ravet,48 L,925,Ready to move,,"5,189 / sq ft",2,2
1,Gulab Nagar Pune,35 L,611,Ready to move,,"5,728 / sq ft",18,1
1,Dhankawadi,35 L,620,Ready to move,,"5,645 / sq ft",16,1
3,Thergaon,1 Cr,819,Under Construction,Possession by Nov 2023,"12,210 / sq ft",,
2,Thergaon,66.66 L,606,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
2,Thergaon,70.07 L,637,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
2,Thergaon,66.44 L,604,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
3,Thergaon,1.12 Cr,919,Under Construction,Possession by Nov 2023,"12,210 / sq ft",,
2,Thergaon,69.96 L,636,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
3,Thergaon,1.06 Cr,872,Under Construction,Possession by Nov 2023,"12,210 / sq ft",,
3,Thergaon,1 Cr,823,Under Construction,Possession by Nov 2023,"12,210 / sq ft",,
2,Thergaon,70.51 L,641,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
2,Thergaon,66.22 L,602,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
2,Thergaon,69.63 L,633,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
2,Thergaon,66 L,600,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
2,Tathawade,46.5 L,935,Under Construction,Possession by May 2022,"4,973 / sq ft",,2
2,Tathawade,48 L,930,Ready to move,,"5,161 / sq ft",4,2
2,Tathawade,47 L,925,Ready to move,,"5,081 / sq ft",3,2
2,Tathawade,46 L,900,Under Construction,Possession by Mar 2023,"5,111 / sq ft",,2
2,Tathawade,46 L,930,Under Construction,,"4,946 / sq ft",,2
2,Tathawade,52 L,930,Under Construction,Possession by May 2024,"5,591 / sq ft",,2
2,Tathawade,47 L,925,Under Construction,Possession by Aug 2022,"5,081 / sq ft",,2
2,Tathawade,49 L,915,Under Construction,Possession by Sep 2024,"5,355 / sq ft",,2
2,Tathawade,51 L,915,Ready to move,,"5,573 / sq ft",2,2
2,Tathawade,47 L,920,Ready to move,,"5,108 / sq ft",2,1
2,Tathawade,51 L,920,Ready to move,,"5,543 / sq ft",3,2
2,Tathawade,44 L,920,Under Construction,Possession by Dec 2023,"4,782 / sq ft",,2
2,Ravet,48 L,930,Ready to move,,"5,161 / sq ft",0,2
2,Ravet,55.2 L,1033,Under Construction,Possession by May 2023,"5,343 / sq ft",,2
1,Tathawade,35 L,600,Ready to move,,"5,833 / sq ft",6,1
3,Ravet,80 L,1300,Under Construction,,"6,153 / sq ft",,3
3,Ravet,66 L,1328,Under Construction,Possession by Sep 2023,"4,969 / sq ft",,3
2,Tathawade,48 L,972,Ready to move,,"4,938 / sq ft",3,2
1,Ravet,41.5 L,680,Ready to move,,"6,102 / sq ft",,1
2,Tathawade,64.44 L,528,Under Construction,Possession by Mar 2023,"12,229 / sq ft",,
2,Tathawade,60.39 L,460,Under Construction,Possession by Mar 2023,"13,159 / sq ft",,
2,Tathawade,66.26 L,532,Under Construction,Possession by Mar 2023,"12,480 / sq ft",,
2,Tathawade,61.39 L,512,Under Construction,Possession by Mar 2023,"12,015 / sq ft",,
2,Tathawade,67.24 L,527,Under Construction,Possession by Mar 2023,"12,785 / sq ft",,
2,Tathawade,67.94 L,488,Under Construction,Possession by Mar 2023,"13,952 / sq ft",,
2,Tathawade,62.59 L,477,Under Construction,Possession by Mar 2023,"13,151 / sq ft",,
2,Tathawade,66.94 L,537,Under Construction,Possession by Mar 2023,"12,490 / sq ft",,
2,Tathawade,63.08 L,516,Under Construction,Possession by Mar 2023,"12,250 / sq ft",,
2,Tathawade,60.96 L,511,Under Construction,Possession by Mar 2023,"11,954 / sq ft",,
2,Tathawade,59.98 L,442,Under Construction,Possession by Mar 2023,"13,603 / sq ft",,
2,Tathawade,62.07 L,473,Under Construction,Possession by Mar 2023,"13,150 / sq ft",,
2,Ravet,44 L,950,Under Construction,Possession by Dec 2022,"4,631 / sq ft",,2
3,Tathawade,75.85 L,830,Under Construction,Possession by Dec 2027,"9,139 / sq ft",,
3,Tathawade,67.74 L,659,Under Construction,Possession by Dec 2027,"10,280 / sq ft",,
2,Tathawade,58.24 L,613,Under Construction,Possession by Dec 2027,"9,502 / sq ft",,
2,Tathawade,57.27 L,503,Under Construction,Possession by Dec 2027,"11,410 / sq ft",,
2,Ravet,48 L,950,Ready to move,,"5,052 / sq ft",4,2
3,Tathawade,95 L,1350,Ready to move,,"7,037 / sq ft",2,2
2,Tathawade,47 L,955,Ready to move,,"4,921 / sq ft",5,2
1,Bibwewadi,40 L,600,Ready to move,,"6,666 / sq ft",,1
2,Ravet,47 L,1000,Under Construction,Possession by Dec 2022,"4,700 / sq ft",,2
1,Ravet,35.5 L,690,Under Construction,Possession by Dec 2022,"5,144 / sq ft",,1
2,Ravet,56.76 L,1033,Under Construction,Possession by May 2023,"5,494 / sq ft",,2
1,Ravet,36 L,667,Ready to move,,"5,397 / sq ft",,1
1,Ravet,36 L,802,Ready to move,,"4,488 / sq ft",,1
1,Ravet,35 L,667,Ready to move,,"5,247 / sq ft",,1
1,Ravet,36.3 L,668,Under Construction,Possession by May 2023,"5,434 / sq ft",,1
3,Ravet,66.71 L,1228,Under Construction,Possession by May 2023,"5,432 / sq ft",,2
2,Ravet,52.78 L,978,Under Construction,Possession by May 2023,"5,397 / sq ft",,2
1,Ravet,36 L,655,Ready to move,,"5,496 / sq ft",,1
1,Bibwewadi,48 L,620,Ready to move,,"7,741 / sq ft",15,1
1,Walvekar Nagar,70 L,620,Ready to move,,"11,290 / sq ft",16,1
1,Katraj,28 L,620,Ready to move,,"4,516 / sq ft",5,1
2,Bibwewadi,60 L,800,Ready to move,,"7,500 / sq ft",23,2
2,Ambegaon Budruk,47 L,1005,Ready to move,,"4,676 / sq ft",8,2
2,Bibwewadi,95 L,1100,Ready to move,,"8,636 / sq ft",8,2
2,Parvati Darshan,95 L,1080,Ready to move,,"8,796 / sq ft",7,2
3,Bibwewadi,1.15 Cr,1500,Ready to move,,"7,666 / sq ft",7,3
2,Undri,54 L,1100,Under Construction,,"4,909 / sq ft",,2
2,Handewadi,55.26 L,1088,Ready to move,,"5,079 / sq ft",3,2
1,Undri,35 L,664,Ready to move,,"5,271 / sq ft",5,1
2,Undri,65 L,1095,Ready to move,,"5,936 / sq ft",4,2
2,Ravet,56 L,906,Under Construction,Possession by May 2022,"6,181 / sq ft",,2
2,Ravet,58 L,911,Under Construction,Possession by Oct 2023,"6,366 / sq ft",,2
2,Ravet,48 L,912,Under Construction,Possession by Oct 2023,"5,263 / sq ft",,2
2,Ravet,56.5 L,905,Under Construction,Possession by May 2022,"6,243 / sq ft",,2
2,Ravet,56 L,1070,Under Construction,Possession by Oct 2023,"5,233 / sq ft",,2
2,Ravet,48.1 L,919,Under Construction,Possession by Oct 2023,"5,233 / sq ft",,2
2,Ravet,48 L,919,Under Construction,Possession by Oct 2023,"5,223 / sq ft",,2
2,Ravet,57 L,1003,Under Construction,Possession by May 2022,"5,682 / sq ft",,2
2,Ravet,51 L,906,Under Construction,Possession by May 2022,"5,629 / sq ft",,2
2,Ravet,49 L,830,Ready to move,,"5,903 / sq ft",0,2
2,Ravet,47.7 L,1036,Under Construction,Possession by Feb 2022,"4,604 / sq ft",,2
1,Ravet,32 L,621,Under Construction,Possession by May 2022,"5,152 / sq ft",,1
2,Ravet,50.1 L,1013,Under Construction,Possession by Feb 2022,"4,945 / sq ft",,2
3,Ravet,60 L,1080,Under Construction,Possession by May 2022,"5,555 / sq ft",,2
2,Ravet,50.51 L,1052,Under Construction,Possession by Feb 2022,"4,801 / sq ft",,2
3,Ravet,71.44 L,1178,Under Construction,Possession by May 2023,"6,064 / sq ft",,3
2,Ravet,54.5 L,878,Under Construction,Possession by May 2023,"6,207 / sq ft",,2
2,Ravet,58.99 L,810,Under Construction,,"7,282 / sq ft",,2
1,Alandi,29.92 L,600,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,29.92 L,600,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,22.04 L,442,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,22.04 L,442,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,25.28 L,507,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,29.92 L,600,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,25.38 L,509,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,22.04 L,442,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
2,Alandi,29.97 L,601,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,25.28 L,507,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
2,Alandi,36.51 L,732,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,25.38 L,509,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,32.17 L,645,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
2,Alandi,29.97 L,601,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
2,Alandi,34.31 L,688,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
2,Alandi,36.51 L,732,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,25.53 L,512,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,32.17 L,645,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
2,Alandi,34.31 L,688,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,25.53 L,512,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
2,Alandi,29.52 L,592,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
2,Alandi,29.52 L,592,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,25.88 L,519,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,24.04 L,482,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,25.88 L,519,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,25.63 L,514,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,24.04 L,482,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Alandi,25.63 L,514,Under Construction,Possession by Nov 2022,"4,988 / sq ft",,
1,Nere,27.9 L,659,Under Construction,Possession by Dec 2024,"4,233 / sq ft",,1
1,Nere,27 L,643,Under Construction,Possession by Dec 2024,"4,199 / sq ft",,1
2,Ravet,52 L,933,Under Construction,Possession by Mar 2023,"5,573 / sq ft",,2
2,Ravet,48.11 L,919,Under Construction,Possession by Oct 2023,"5,235 / sq ft",,1
2,Ravet,48 L,919,Under Construction,Possession by Oct 2023,"5,223 / sq ft",,2
2,Ravet,44 L,811,Under Construction,,"5,425 / sq ft",,2
2,Ravet,40 L,743,Under Construction,,"5,383 / sq ft",,2
2,Ravet,47 L,907,Under Construction,Possession by Feb 2024,"5,181 / sq ft",,2
3,Ravet,62 L,1200,Under Construction,,"5,166 / sq ft",,3
2,Ravet,39 L,743,Under Construction,,"5,248 / sq ft",,2
2,Tathawade,49.9 L,932,Under Construction,Possession by Dec 2022,"5,354 / sq ft",,2
2,Tathawade,45 L,892,Under Construction,Possession by Apr 2023,"5,044 / sq ft",,2
2,Tathawade,48 L,945,Under Construction,Possession by Apr 2023,"5,079 / sq ft",,2
2,Tathawade,45 L,892,Under Construction,Possession by Apr 2023,"5,044 / sq ft",,2
2,Tathawade,45 L,892,Under Construction,Possession by Apr 2023,"5,044 / sq ft",,2
3,Tathawade,61 L,1150,Under Construction,Possession by Apr 2023,"5,304 / sq ft",,3
3,Tathawade,60 L,1120,Under Construction,Possession by Apr 2023,"5,357 / sq ft",,3
3,Tathawade,60 L,1120,Under Construction,Possession by Apr 2023,"5,357 / sq ft",,3
2,Tathawade,55 L,980,Under Construction,Possession by May 2026,"5,612 / sq ft",,2
3,Tathawade,76 L,1348,Under Construction,Possession by Apr 2023,"5,637 / sq ft",,3
2,Tathawade,48.5 L,890,Under Construction,Possession by Mar 2024,"5,449 / sq ft",,2
2,Ravet,48 L,900,Under Construction,Possession by Oct 2025,"5,333 / sq ft",,2
2,Ravet,50 L,1015,Under Construction,Possession by Mar 2023,"4,926 / sq ft",,2
2,Ravet,50 L,1015,Under Construction,Possession by Mar 2023,"4,926 / sq ft",,2
2,Ravet,50 L,1015,Under Construction,Possession by Mar 2023,"4,926 / sq ft",,2
2,Ravet,48 L,932,Under Construction,Possession by Mar 2023,"5,150 / sq ft",,2
2,Ravet,48 L,932,Under Construction,Possession by Mar 2023,"5,150 / sq ft",,2
2,Ravet,48 L,932,Under Construction,Possession by Mar 2023,"5,150 / sq ft",,2
2,Ravet,48 L,932,Under Construction,Possession by Mar 2023,"5,150 / sq ft",,2
3,Ravet,65 L,1148,Under Construction,Possession by Sep 2023,"5,662 / sq ft",,2
3,Ravet,74.3 L,1328,Under Construction,Possession by Sep 2023,"5,594 / sq ft",,3
3,Ravet,74.48 L,1334,Under Construction,Possession by Sep 2023,"5,583 / sq ft",,3
3,Ravet,64.83 L,1144,Under Construction,Possession by Sep 2023,"5,666 / sq ft",,2
2,Ravet,50.35 L,896,Under Construction,Possession by Sep 2023,"5,619 / sq ft",,2
2,Ravet,54.68 L,986,Under Construction,Possession by Sep 2023,"5,545 / sq ft",,2
2,Ravet,58 L,810,Under Construction,,"7,160 / sq ft",,2
2,Ravet,48 L,810,Under Construction,Possession by Aug 2021,"5,925 / sq ft",,2
2,Ravet,58.8 L,810,Under Construction,,"7,259 / sq ft",,2
2,Ravet,58.1 L,1085,Ready to move,,"5,354 / sq ft",2,2
2,Ravet,58.1 L,932,Ready to move,,"6,233 / sq ft",2,2
2,Ravet,58.2 L,932,Ready to move,,"6,244 / sq ft",2,2
2,Ravet,54.54 L,878,Under Construction,Possession by May 2023,"6,212 / sq ft",,2
1,Hinjewadi,34 L,610,Under Construction,Possession by Aug 2021,"5,573 / sq ft",,1
2,Kiwale,41.57 L,888,Under Construction,,"4,682 / sq ft",,2
2,Ravet,52.8 L,820,Under Construction,,"6,439 / sq ft",,2
2,Ravet,52.95 L,820,Under Construction,,"6,457 / sq ft",,2
3,Kharadi,96 L,1588,Ready to move,,"6,045 / sq ft",11,3
2,Kharadi,72 L,1242,Ready to move,,"5,797 / sq ft",12,2
2,Kharadi,55 L,850,Ready to move,,"6,470 / sq ft",4,2
3,Kharadi,78 L,1123,Under Construction,Possession by Nov 2023,"6,945 / sq ft",,3
2,Kharadi,65 L,868,Under Construction,Possession by Nov 2023,"7,488 / sq ft",,2
3,Pashan,1.39 Cr,1074,Under Construction,Possession by May 2021,"13,047 / sq ft",,
3,Pashan,1.41 Cr,1082,Under Construction,Possession by May 2021,"13,123 / sq ft",,
3,Pashan,1.24 Cr,1003,Under Construction,Possession by May 2021,"12,474 / sq ft",,
3,Pashan,1.44 Cr,1122,Under Construction,Possession by May 2021,"12,934 / sq ft",,
3,Pashan,1.46 Cr,1130,Under Construction,Possession by May 2021,"13,019 / sq ft",,
3,Pashan,1.25 Cr,1011,Under Construction,Possession by May 2021,"12,364 / sq ft",,
4,Wakad,1.28 Cr,1425,Under Construction,Possession by Dec 2024,"9,000 / sq ft",,
3,Karve Nagar,1.06 Cr,1265,Under Construction,,"8,379 / sq ft",,3
2,Bibwewadi,1.1 Cr,1228,Ready to move,,"8,957 / sq ft",6,2
2,Bibwewadi,80 L,746,Under Construction,Possession by Nov 2023,"10,723 / sq ft",,2
1,Mahalunge,42 L,631,Under Construction,Possession by Sep 2024,"6,656 / sq ft",,1
3,Bibwewadi,1.45 Cr,1142,Under Construction,Possession by Nov 2021,"12,697 / sq ft",,3
2,Bibwewadi,1.15 Cr,1100,Ready to move,,"10,454 / sq ft",5,2
3,Bibwewadi,1.25 Cr,946,Under Construction,Possession by May 2023,"13,213 / sq ft",,3
3,Pune Satara Road,1.45 Cr,1650,Under Construction,Possession by Apr 2022,"8,787 / sq ft",,3
2,Pune Satara Road,1.05 Cr,1100,Under Construction,Possession by Apr 2022,"9,545 / sq ft",,2
3,Bibwewadi,1.2 Cr,1669,Ready to move,,"7,189 / sq ft",6,3
2,Bibwewadi,90 L,1221,Ready to move,,"7,371 / sq ft",6,2
2,Wagholi,57 L,1110,Ready to move,,"5,135 / sq ft",7,2
2,Wagholi,48.5 L,1000,Under Construction,Possession by Jul 2022,"4,850 / sq ft",,2
1,Wagholi,30 L,690,Under Construction,Possession by Jun 2022,"4,347 / sq ft",,2
2,Wagholi,47.72 L,972,Under Construction,,"4,909 / sq ft",,2
2,Wagholi,54.5 L,1020,Under Construction,,"5,343 / sq ft",,2
1,Dhayari,16.5 L,580,Ready to move,,"2,844 / sq ft",16,1
1,Wagholi,29 L,665,Ready to move,,"4,360 / sq ft",9,1
2,Pimple Saudagar,55 L,1000,Ready to move,,"5,500 / sq ft",,2
1,Bavdhan,45 L,630,Ready to move,,"7,142 / sq ft",14,1
2,Chinchwad,78 L,1015,Ready to move,,"7,684 / sq ft",11,2
1,Somwar Peth,40 L,410,Ready to move,,"9,756 / sq ft",6,1
2,Bhukum,58 L,1100,Ready to move,,"5,272 / sq ft",4,2
3,Hadapsar,85 L,1070,Ready to move,,"7,943 / sq ft",7,2
2,Vishrantwadi,90 L,1125,Ready to move,,"8,000 / sq ft",8,2
3,Fursungi,87 L,1585,Ready to move,,"5,488 / sq ft",3,3
1,Ganesh Peth,48 L,580,Ready to move,,"8,275 / sq ft",,1
1,Hadapsar,25 L,540,Ready to move,,"4,629 / sq ft",6,1
2,Undri,45 L,873,Ready to move,,"5,154 / sq ft",7,2
2,Hinjewadi,92 L,1340,Ready to move,,"6,865 / sq ft",,2
2,Parvati Darshan,1.05 Cr,1050,Ready to move,,"10,000 / sq ft",,1
1,Kharadi,40 L,630,Ready to move,,"6,349 / sq ft",,1
1,Wagholi,27 L,573,Ready to move,,"4,712 / sq ft",6,1
2,Wagholi,40 L,940,Ready to move,,"4,255 / sq ft",3,2
1,Ambegaon Budruk,32 L,571,Ready to move,,"5,604 / sq ft",6,1
1,Wagholi,27 L,700,Ready to move,,"3,857 / sq ft",9,1
2,Ambegaon Budruk,47 L,871,Ready to move,,"5,396 / sq ft",3,2
2,Shaniwar Peth,1.25 Cr,1125,Ready to move,,"11,111 / sq ft",,2
2,Kalewadi Pandhapur Road,45 L,680,Ready to move,,"6,617 / sq ft",2,2
3,Pashan,95 L,1150,Ready to move,,"8,260 / sq ft",,2
2,Dhayari,50 L,900,Ready to move,,"5,555 / sq ft",2,2
3,Kharadi,1.11 Cr,934,Under Construction,Possession by Aug 2022,"11,939 / sq ft",,
2,Kharadi,84.99 L,637,Under Construction,Possession by Aug 2022,"13,343 / sq ft",,
3,Kharadi,1.33 Cr,935,Under Construction,Possession by Aug 2022,"14,330 / sq ft",,
2,Kharadi,78.45 L,636,Under Construction,Possession by Aug 2022,"12,335 / sq ft",,
3,Kharadi,1.1 Cr,925,Under Construction,Possession by Aug 2022,"11,940 / sq ft",,
3,Kharadi,1.11 Cr,930,Under Construction,Possession by Aug 2022,"11,939 / sq ft",,
2,Kharadi,78.33 L,635,Under Construction,Possession by Aug 2022,"12,335 / sq ft",,
3,Kharadi,1.1 Cr,929,Under Construction,Possession by Aug 2022,"11,940 / sq ft",,
2,Kharadi,78.21 L,634,Under Construction,Possession by Aug 2022,"12,337 / sq ft",,
2,Kharadi,78.09 L,633,Under Construction,Possession by Aug 2022,"12,337 / sq ft",,
3,Kharadi,1.11 Cr,931,Under Construction,Possession by Aug 2022,"11,940 / sq ft",,
2,Kharadi,77.97 L,632,Under Construction,Possession by Aug 2022,"12,337 / sq ft",,
3,Kharadi,1.09 Cr,921,Under Construction,Possession by Aug 2022,"11,940 / sq ft",,
2,Undri,40 L,870,Ready to move,,"4,597 / sq ft",3,2
3,Baner,1.27 Cr,1518,Under Construction,,"8,366 / sq ft",,3
3,Baner,1.25 Cr,1412,Under Construction,,"8,852 / sq ft",,2
2,Baner,88.5 L,1208,Under Construction,,"7,326 / sq ft",,2
1,Ravet,32 L,654,Under Construction,Possession by May 2023,"4,892 / sq ft",,1
1,Tathawade,32 L,600,Under Construction,Possession by Aug 2025,"5,333 / sq ft",,2
2,Wakad,58 L,960,Ready to move,,"6,041 / sq ft",0,2
3,Wakad,80 L,1323,Under Construction,Possession by Jan 2023,"6,046 / sq ft",,3
2,Pimple Saudagar,75 L,1053,Ready to move,,"7,122 / sq ft",,2
2,Alandi,33 L,752,Under Construction,Possession by Dec 2025,"4,388 / sq ft",,2
2,Alandi,33 L,752,Under Construction,Possession by Dec 2025,"4,388 / sq ft",,2
2,Alandi,33 L,752,Under Construction,Possession by Dec 2025,"4,388 / sq ft",,2
2,Alandi,32 L,751,Under Construction,Possession by Dec 2025,"4,260 / sq ft",,2
1,Alandi,32 L,752,Under Construction,Possession by Dec 2025,"4,255 / sq ft",,2
2,Alandi,32.2 L,752,Under Construction,Possession by Dec 2025,"4,281 / sq ft",,2
2,Hadapsar,65 L,860,Under Construction,Possession by Dec 2023,"7,558 / sq ft",,2
2,Tathawade,43.45 L,730,Under Construction,,"5,952 / sq ft",,2
2,Tathawade,63 L,985,Ready to move,,"6,395 / sq ft",2,2
2,Mamurdi,43 L,1060,Under Construction,,"4,056 / sq ft",,2
2,Jambhul,13.95 L,481,Ready to move,,"2,900 / sq ft",4,2
2,Mamurdi,43 L,1060,Under Construction,,"4,056 / sq ft",,2
2,Ravet,39.5 L,985,Under Construction,,"4,010 / sq ft",,2
2,Ravet,42 L,1000,Under Construction,Possession by Jan 2024,"4,200 / sq ft",,2
1,Tathawade,33.65 L,650,Under Construction,Possession by Feb 2024,"5,176 / sq ft",,1
2,Tathawade,48 L,1030,Under Construction,Possession by Mar 2022,"4,660 / sq ft",,2
2,Pimpri,55 L,780,Ready to move,,"7,051 / sq ft",,1
2,Hadapsar,80 L,1000,Ready to move,,"8,000 / sq ft",,2
1,Undri,35 L,625,Ready to move,,"5,600 / sq ft",6,1
1,Fursungi Gaon,17.25 L,810,Ready to move,,"2,129 / sq ft",3,1
2,NIBM Road,55 L,792,Ready to move,,"6,944 / sq ft",2,2
1,Vishrantwadi,32 L,600,Ready to move,,"5,333 / sq ft",10,1
3,Dhanori,82 L,1600,Ready to move,,"5,125 / sq ft",6,3
2,Vishrantwadi,70 L,1300,Ready to move,,"5,384 / sq ft",12,2
1,Vishrantwadi,44 L,750,Ready to move,,"5,866 / sq ft",12,1
1,Vishrantwadi,43 L,750,Ready to move,,"5,733 / sq ft",12,1
1,Aundh,65 L,575,Ready to move,,"11,304 / sq ft",17,1
2,Amanora Park Town,75 L,850,Ready to move,,"8,823 / sq ft",7,2
1,Wadachiwadi Road,25 L,522,Ready to move,,"4,789 / sq ft",7,1
1,bhekarai nagar,15 L,606,Ready to move,,"2,475 / sq ft",,1
2,Jambhulwadi Road,35 L,890,Ready to move,,"3,932 / sq ft",5,2
2,Mundhwa,75.81 L,702,Under Construction,Possession by Aug 2023,"10,815 / sq ft",,
1,Kothrud,58 L,600,Ready to move,,"9,666 / sq ft",12,1
1,Wagholi,24.4 L,470,Ready to move,,"5,191 / sq ft",2,
1,Wagholi,24.4 L,470,Ready to move,,"5,191 / sq ft",2,
2,Wagholi,33.33 L,779,Ready to move,,"4,278 / sq ft",2,
2,Wagholi,33.33 L,779,Ready to move,,"4,278 / sq ft",2,
1,Wagholi,24.4 L,470,Ready to move,,"5,191 / sq ft",2,
1,Wagholi,24.4 L,470,Ready to move,,"5,191 / sq ft",2,
2,Wagholi,33.33 L,779,Ready to move,,"4,278 / sq ft",2,
2,Wagholi,33.33 L,779,Ready to move,,"4,278 / sq ft",2,
1,Wagholi,24.75 L,481,Ready to move,,"5,145 / sq ft",2,
1,Wagholi,24.75 L,481,Ready to move,,"5,145 / sq ft",2,
2,Dhayari,52.89 L,611,Under Construction,Possession by May 2025,"8,672 / sq ft",,
2,Dhayari,44.89 L,559,Under Construction,Possession by May 2025,"8,046 / sq ft",,
1,Tathawade,43.35 L,363,Under Construction,Possession by Jun 2026,"11,977 / sq ft",,
1,Tathawade,39.99 L,334,Under Construction,Possession by Jun 2026,"12,012 / sq ft",,
2,Tathawade,54.99 L,460,Under Construction,Possession by Jun 2026,"11,982 / sq ft",,
1,Tathawade,45.52 L,379,Under Construction,Possession by Jun 2026,"12,044 / sq ft",,
1,Tathawade,43.36 L,361,Under Construction,Possession by Jun 2026,"12,044 / sq ft",,
2,Mahalunge,58.6 L,641,Under Construction,Possession by Dec 2024,"9,142 / sq ft",,
1,Mahalunge,42.49 L,468,Under Construction,Possession by Dec 2024,"9,081 / sq ft",,
3,Mahalunge,73.49 L,815,Under Construction,Possession by Dec 2024,"9,018 / sq ft",,
3,Mahalunge,88.72 L,678,Under Construction,Possession by Jun 2025,"13,085 / sq ft",,
3,Mahalunge,88.71 L,677,Under Construction,Possession by Jun 2025,"13,103 / sq ft",,
3,Mahalunge,92.45 L,784,Under Construction,Possession by Jun 2025,"11,792 / sq ft",,
1,Hinjewadi,49.97 L,806,Ready to move,,"6,200 / sq ft",2,1
2,Hinjewadi,85.06 L,1372,Ready to move,,"6,200 / sq ft",2,
3,Hinjewadi,71.79 L,1158,Ready to move,,"6,200 / sq ft",2,
2,Hinjewadi,84.32 L,1360,Ready to move,,"6,200 / sq ft",2,
1,Hinjewadi,49.47 L,798,Ready to move,,"6,200 / sq ft",2,1
1,Hinjewadi,41.35 L,667,Ready to move,,"6,200 / sq ft",2,1
5,Hinjewadi,1.87 Cr,3030,Ready to move,,"6,200 / sq ft",2,5
1,Hinjewadi,42.03 L,678,Ready to move,,"6,200 / sq ft",2,
1,Hinjewadi,35.89 L,579,Ready to move,,"6,200 / sq ft",2,
3,Dhanori,98.37 L,1006,Under Construction,Possession by Apr 2023,"9,778 / sq ft",,
3,Dhanori,69.28 L,963,Under Construction,Possession by Apr 2023,"7,194 / sq ft",,
2,Dhanori,56.82 L,714,Under Construction,Possession by Apr 2023,"7,957 / sq ft",,
2,Dhanori,55.73 L,731,Under Construction,Possession by Apr 2023,"7,623 / sq ft",,
3,Mahalunge,99.82 L,834,Under Construction,Possession by Jun 2025,"11,968 / sq ft",,
2,Mahalunge,64.5 L,572,Under Construction,Possession by Jun 2025,"11,276 / sq ft",,
2,Mahalunge,51.57 L,509,Under Construction,Possession by Jun 2025,"10,131 / sq ft",,
2,Mahalunge,61 L,571,Under Construction,Possession by Jun 2025,"10,683 / sq ft",,
